Rk,Player,MP,Season,Age,Team,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,-9999
176,Herbert Jones,1951,2022-23,24,NOP,66,66,0,29.6,3.6,7.6,2.7,5.1,0.8,2.5,1.9,2.4,1.5,2.6,4.1,2.5,1.6,0.6,1.3,3.2,9.8,0.469,0.536,0.335,0.764,0.567,52.495,F,joneshe01
177,Thomas Bryant,1081,2022-23,25,DENLAL,59,26,0,18.3,3.9,6.3,3.5,5.3,0.4,1,1.6,2.1,1.5,4.3,5.7,0.5,0.3,0.5,0.6,1.7,9.8,0.623,0.658,0.441,0.738,0.682,65.854,C,bryanth01
178,Al Horford,1922,2022-23,36,BOS,63,63,0,30.5,3.6,7.6,1.3,2.4,2.3,5.2,0.2,0.3,1.2,5,6.2,3,0.5,1,0.6,1.9,9.8,0.476,0.539,0.446,0.714,0.631,62.735,C-F,horfoal01
179,Josh Hart,2454,2022-23,27,NYKPOR,76,52,0,32.3,3.6,6.8,2.8,4.7,0.8,2.2,1.7,2.3,1.9,5.9,7.8,3.8,1.2,0.3,1.5,2.6,9.8,0.529,0.601,0.372,0.75,0.622,58.75,G,hartjo01
180,Cam Reddish,990,2022-23,23,NYKPOR,40,20,0,24.8,3.5,7.8,2.4,4.2,1.1,3.6,1.6,1.9,0.5,1.8,2.2,1.4,1,0.4,1.2,1.8,9.7,0.446,0.56,0.313,0.853,0.561,51.763,F,reddica01
181,Coby White,1730,2022-23,22,CHI,74,2,0,23.4,3.6,8,1.8,3.4,1.7,4.6,0.8,0.9,0.2,2.6,2.9,2.8,0.7,0.1,1,1.6,9.7,0.443,0.54,0.372,0.871,0.572,55.051,G,whiteco01
182,Keita Bates-Diop,1452,2022-23,27,SAS,67,42,0,21.7,3.5,6.9,2.7,4.8,0.8,2.1,1.8,2.2,1,2.7,3.7,1.5,0.7,0.3,0.8,0.9,9.7,0.508,0.557,0.394,0.793,0.609,56.774,F,bateske01
183,Caleb Martin,2077,2022-23,27,MIA,71,49,0,29.3,3.6,7.7,2.4,4.4,1.2,3.3,1.3,1.6,1.2,3.6,4.8,1.6,1,0.4,1.1,2,9.6,0.464,0.545,0.356,0.805,0.571,54.015,F,martica02
184,Isaiah Joe,1395,2022-23,23,OKC,73,10,0,19.1,3.1,7,0.9,1.6,2.2,5.4,1.1,1.4,0.4,2,2.4,1.2,0.7,0.1,0.5,1.4,9.5,0.441,0.553,0.409,0.82,0.626,59.941,G,joeis01
185,Andrew Nembhard,2073,2022-23,23,IND,75,63,0,27.6,3.8,8.6,2.6,5.1,1.2,3.5,0.7,0.8,0.5,2.2,2.7,4.5,0.9,0.2,1.7,2.4,9.5,0.441,0.504,0.35,0.79,0.528,51.242,G,nembhan01
186,Jalen Smith,1279,2022-23,22,IND,68,31,0,18.8,3.6,7.5,2.8,4.7,0.8,2.8,1.5,2,1.9,3.9,5.8,1,0.3,0.9,1.1,2.3,9.4,0.476,0.593,0.283,0.759,0.565,52.953,F,smithja04
187,Jalen McDaniels,1913,2022-23,25,CHOPHI,80,24,0,23.9,3.5,7.7,2.6,4.8,1,2.9,1.5,1.7,0.8,3.5,4.3,1.6,1,0.4,1.2,2.6,9.4,0.455,0.53,0.332,0.841,0.557,51.783,F,mcdanja01
188,Gabe Vincent,1759,2022-23,26,MIA,68,34,0,25.9,3.4,8.3,1.6,3.2,1.7,5.1,1,1.1,0.4,1.7,2.1,2.5,0.9,0.1,1.4,2.3,9.4,0.402,0.512,0.334,0.872,0.533,50.529,G,vincega01
